_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
872576,Затерянный мир,Дойл Артур Конан,Волжина Наталия Альбертовна,"Хопта Анна, Шибалова Е.",Новицкас Любовь,Лабиринт,2023,Детская художественная литература,"Интерактивные книги, Вокруг книги",,1840,316,238,34,8.96,4440,https://www.labirint.ru/books/872576/
996858,Имя Кати,Губарев Павел Николаевич,,,,Пять четвертей,2024,Искажения,,,484,217,145,39,10,1080,https://www.labirint.ru/books/996858/
535141,Календарь ма(й)я,Ледерман Виктория Валерьевна,,,,КомпасГид,2020,Виктория Ледерман,Навстречу приключениям,,358,216,146,17,9.57,1356,https://www.labirint.ru/books/535141/
850430,Даша и приключения во времени. Комплект из 4 книг,Гурова Анна Евгеньевна,,Ходыревская Анна,,Качели,2022,Комплекты,,Приключения. Детективы,1534,241,198,42,8,3389,https://www.labirint.ru/books/850430/
1005576,Алиса Селезнева. Начало. Комплект из 3-х книг,Булычев Кир,,Мигунов Евгений,"Ким Елена Николаевна, Урбанович Галина, Смышляева Александра",Лабиринт,2024,Комплекты,,,2416,223,171,86,8.8,2717,https://www.labirint.ru/books/1005576/
654918,Гиперболоид инженера Гарина,Толстой Алексей Николаевич,,Рылов Владимир,,Верже,2018,Книжный шкаф,,Классическая отечественная проза,1654,297,220,36,7.64,7675,https://www.labirint.ru/books/654918/
990517,Ребус профессора Персиянова,Кудрякова Наталья Николаевна,,Мальцева Дарья,,Пять четвертей,2024,Наизнанку,,,572,218,147,25,9.54,998,https://www.labirint.ru/books/990517/
699570,Всадник без головы,Майн Рид Томас,Макарова Алла Юльевна,Богачев Юрий Николаевич,,Нигма,2022,Страна приключений,,Мистика. Фантастика. Фэнтези,1426,267,213,27,8.47,2012,https://www.labirint.ru/books/699570/
859609,Образы Ереси. Артбук,"Меррет Алан, Хейли Гай","Апанасевич Алексей, Войтко Юрий","Амджал Абрар, Белледин Стив, Бланше Джон",,Фантастика,2022,Warhammer 40000 КОМИКСЫ,,,2534,316,235,35,10,4801,https://www.labirint.ru/books/859609/
766218,Продавец троллей,Якобсен Бент,Стреблова Инна Павловна,Челак Вадим,Урбанович Галина,Лабиринт,2020,Детская художественная литература,Клуб любителей приключений,,1256,282,225,19,9.01,1872,https://www.labirint.ru/books/766218/
795058,Земля Санникова. В 2-х томах,Обручев Владимир Афанасьевич,,"Танцев Михаил, Иванов Михаил",Колоколкина Мария,Лабиринт,2023,Детская художественная литература,"Интерактивные книги, Книга-путешествие",Классическая отечественная фантастика,2928,315,295,22,8.4,8280,https://www.labirint.ru/books/795058/
972761,A Clockwork Orange,Burgess Antony,,,,William Heinemann,2012,,,,586,235,160,32,10,6425,https://www.labirint.ru/books/972761/
626205,Сквозь зеркала. Книга 1. Обрученные холодом,Дабо Кристель,Волевич Ирина,,Бобрецова Татьяна,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,688,243,175,30,8.99,1094,https://www.labirint.ru/books/626205/
424618,Гарри Поттер и Философский камень,Роулинг Джоан Кэтлин,Спивак Маша,,"Грызунова Анастасия, Немцов М.",Махаон,2022,Гарри Поттер,,,448,207,135,20,3.09,876,https://www.labirint.ru/books/424618/
973236,Doctor Who. In the Blood,Colgan Jenny,,,,BBC books,2017,Doctor Who,,,235,200,130,20,10,3853,https://www.labirint.ru/books/973236/
973207,Doctor Who and the Krikkitmen,"Adams Douglas, Госс Джеймс",,,,BBC books,2019,Doctor Who,,,286,200,125,30,10,3853,https://www.labirint.ru/books/973207/
973379,Ghost Music,An Yu,,,,Harvill Press,2022,,,,350,225,145,23,10,3856,https://www.labirint.ru/books/973379/
985934,Ray Bradbury Stories. Volume 2,Bradbury Ray,,,,Harper Voyager,2008,,,,944,235,155,53,9,3856,https://www.labirint.ru/books/985934/
890806,Juniper & Thorn,Reid Ava,,,,DelRey,2022,,,,440,222,144,29,0,3912,https://www.labirint.ru/books/890806/
890455,The Second Sight of Zachary Cloudesley,Lusk Sean,,,,Doubleday,2022,,,,470,225,145,33,0,3912,https://www.labirint.ru/books/890455/
890430,The Raptures,Carson Jan,,,,Doubleday,2022,,,,438,225,145,30,0,3911,https://www.labirint.ru/books/890430/
888713,When We Were Birds,Banwo Ayanna Lloyd,,,,Penguin,2022,,,Фантастика и ужасы на английском языке,396,223,145,27,0,3913,https://www.labirint.ru/books/888713/
996344,Бухта Радужных струй,Ефремов Иван Антонович,,"Таубер В., Рубаков М., Кулаков М. М.",,Престиж БУК,2023,,,Классическая отечественная проза,778,207,133,40,10,2026,https://www.labirint.ru/books/996344/
878603,"Человек, который умел летать",Чапек Карел,"Мартемьянова В., Аросева Н., Аксель Тамара Михайловна, Бабенко Виталий Тимофеевич, Молочковский Юрий Николаевич",,,Текст,2022,Это фантастика!,,Классическая зарубежная проза,532,208,135,30,8.88,1071,https://www.labirint.ru/books/878603/
904868,Anatomy. A Love Story,Schwartz Dana,,,,Piatkus,2022,,Книжный клуб Риз Уизерспун,Young adult на английском языке,560,240,160,30,9,4007,https://www.labirint.ru/books/904868/
905213,The Cartographers,Shepherd Peng,,,,Orion,2022,,,,616,240,162,35,0,4007,https://www.labirint.ru/books/905213/
910287,Mexican Gothic,Moreno-Garcia Silvia,,,,Jo Fletcher Books,2020,,,,528,240,160,30,10,4012,https://www.labirint.ru/books/910287/
910558,Creatures of Passage,Yejide Morowa,,,,Jacaranda,2021,Jacaranda,,,510,240,165,28,0,4017,https://www.labirint.ru/books/910558/
910255,Out There. Stories,Folk Kate,,,,Hodder & Stoughton,2022,,,,365,223,144,23,0,4017,https://www.labirint.ru/books/910255/
910254,Chasing the Boogeyman,Chizmar Richard,,,,Hodder & Stoughton,2021,,,,544,240,165,30,10,4017,https://www.labirint.ru/books/910254/
